brand_name,priority_score
Affligem,0
Alexander Keith's Ambrosia Blonde,0
Alexander Keith's IPA,1
Alexander Keith's Red,2
Archibald Chipie,0
Archibald Joufflue,0
Archibald Matante,1
Bass,0
Beau MilkStout,0
Beau's Blood Simple Witbier,0
Beau's Farm Table Dunkel,0
Beau's Iron Shirt Pale Ale,0
Beau's Kissmeyer Nordic Pale Ale,0
Beau's Lug Tread,0
Beau's Triceratops Tripel,0
Beau's Tyrannosaurus Gruit,0
Belle Guele Blonde,0
Belle Guele Rousse,0
Bernard,0
Blonde De Chambly,0
Blue Moon/Belgian Moon,0
Blue Point Hops,0
Boddingtons Pale Ale,0
Boreale Scotch Ale,0
Brassee de Blanc,0
Bud Light,1
Budweiser,1
Carlsberg,0
Cette Sorte-La ,0
Cheval Blanc,0
Cidre-Verger de la Colline Orig.,0
Coors Light,0
Creemore,0
Dos Equis,0
Dublin's Pub Cider,0
Empty one,0
Ephemere,0
Erdinger,0
Garde-Malade,0
Glutenberg Blonde,0
Goose Island - Endless IPA,0
Goose Island - Green Line,0
Goose Island - Honker's Ale,0
Goose Island - IPA,1
Goose Island - Rambler IPA,0
Grave Du Cafթ,0
Griffintown,0
Griffon - Blonde,0
Griffon - Red,0
Grolsch,0
Guinness,0
Harp's,0
Heineken,0
Hoegaarden,1
Irish Red Ale,0
Kilkenny,0
Kombucha,0
Krombacher Dark,0
Krombacher Pils,0
Krombacher Weizen,0
Kronenbourg 1664,0
L'autre Sorte,0
L'Espace Public,0
La Buteuse,0
Labatt 50,1
Labatt 50 Blue,1
Laurentide,0
Le verger sur le colline cider blanc,0
Le verger sur le colline cidre rose,0
Leffe Blonde,0
Leffe Brown,0
Les Trois Lettres,0
MacTavish,0
McKeown Cidre,0
Michel Jodoin,0
Mill St. Cobblestone Stout,0
Mill St. Organic Lager,0
Mill St. Tankhouse Ale,0
Mill Street Betelgeuse,0
Miss Demeanor,0
Molson Canadian,0
Murphy's Stout,0
Mystique Cider,0
Okanagan Spring Pale Ale,0
Paulaner,0
Pince Sans Rire,0
Pitoune,0
Pretty Bastard,0
Rickard's Red,0
Rickard's White,0
Rolling Rock,1
Samuel Adams Boston Lager,0
Sang D'encre,0
Sapporo,0
Sessionnal,0
Shock Top,1
Sleeman Honey Brown,0
Sleeman Original,0
Sleeman Red Ale,0
Smithwick's,0
St Ambroise Apricot Wheat Ale,0
St Ambroise Cider,0
St Ambroise Cream Ale,0
St Ambroise Double IPA,0
St Ambroise IPA,0
St Ambroise Oatmeal Stout,0
St Ambroise Pale Ale,0
St Ambroise Scotch Ale,0
Ste-Q Blonde,0
Ste-Q Rousse,0
Stella Artois,1
Temp Keg,0
Tremblay Blonde,0
Turlutte,0
Urthel SaisonniՌre,0
West Shefford Blonde,0
West Shefford Cobra,0
West Shefford Red,0
