serve_ends2,external_id,brand_name,consumption
2017-03-20,13460.0,Budweiser,13
2017-03-20,26331.0,Labatt 50,12
2017-03-20,39524.0,Labatt 50,10
2017-03-20,39524.0,Labatt 50 Blue,10
2017-03-20,40084.0,Labatt 50,20
2017-03-20,52007.0,Alexander Keith's IPA,12
2017-03-20,75624.0,Alexander Keith's IPA,36
2017-03-20,75624.0,Alexander Keith's Red,16
2017-03-20,75624.0,Archibald Matante,17
2017-03-20,75624.0,Bud Light,19
2017-03-20,75624.0,Budweiser,19
2017-03-20,75624.0,Goose Island - IPA,17
2017-03-20,75624.0,Hoegaarden,23
2017-03-20,75624.0,Labatt 50,41
2017-03-20,75624.0,Labatt 50 Blue,20
2017-03-20,75624.0,Rolling Rock,15
2017-03-20,75624.0,Shock Top,22
2017-03-20,75624.0,Stella Artois,18
2017-03-20,93217.0,Budweiser,14
2017-03-20,482253.0,Budweiser,28
2017-03-20,482253.0,Labatt 50,12
2017-03-20,596611.0,Labatt 50,15
2017-03-20,7002919.0,Alexander Keith's IPA,38
2017-03-20,7002919.0,Alexander Keith's Red,36
2017-03-20,7002919.0,Budweiser,45
2017-03-20,7002919.0,Hoegaarden,43
2017-03-20,7002919.0,Labatt 50,48
2017-03-20,7002919.0,Mill St. Cobblestone Stout,40
2017-03-20,7002919.0,Shock Top,46
2017-03-20,7002919.0,Stella Artois,36
